kT    M
0.1   0.9915
0.199   1.0
0.298   1.0
0.397   1.0
0.496   1.0
0.595   1.0
0.694   1.0
0.793   0.997
0.892   0.9995
0.991   0.999
1.09   0.996
1.189   0.994
1.288   0.996
1.387   0.979
1.486   0.9845
1.585   0.9685
1.684   0.953
1.783   0.9575
1.882   0.936
1.981   0.953
2.08   0.9455
2.179   0.9305
2.278   0.891
2.377   0.862
2.476   0.8155
2.575   0.855
2.674   0.8065
2.773   0.813
2.872   0.779
2.971   0.745
3.07   0.6955
3.169   0.6865
3.268   0.6285
3.367   0.608
3.466   0.707
3.565   0.542
3.664   0.6335
3.763   0.539
3.862   0.54
3.961   0.513
4.06   0.544
4.159   0.4605
4.258   0.465
4.357   0.427
4.456   0.465
4.555   0.462
4.654   0.425
4.753   0.389
4.852   0.406
4.951   0.394
5.05   0.3775
5.149   0.3745
5.248   0.2975
5.347   0.2795
5.446   0.2905
5.545   0.3015
5.644   0.325
5.743   0.2555
5.842   0.2685
5.941   0.2465
6.04   0.266
6.139   0.193
6.238   0.3305
6.337   0.2255
6.436   0.233
6.535   0.279
6.634   0.294
6.733   0.2125
6.832   0.195
6.931   0.2215
7.03   0.224
7.129   0.242
7.228   0.216
7.327   0.2295
7.426   0.215
7.525   0.2555
7.624   0.185
7.723   0.2085
7.822   0.2655
7.921   0.1735
8.02   0.1735
8.119   0.2185
8.218   0.1845
8.317   0.132
8.416   0.1625
8.515   0.163
8.614   0.182
8.713   0.1465
8.812   0.1885
8.911   0.1315
9.01   0.2105
9.109   0.1185
9.208   0.115
9.307   0.185
9.406   0.1385
9.505   0.161
9.604   0.1415
9.703   0.16
9.802   0.175
9.901   0.1615
